,title,originallink,link,description,pubDate
0,일론 머스크 &quot;테슬라 팔지 마라&quot;…생산라인 전면 중단 승부수 [테슬라 ...,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202504040536&t=NN,https://n.news.naver.com/mnews/article/215/0001204645?sid=104,"이 기술은 <b>교통사고</b>를 줄이고, 더욱 안전하고 효율적인 운송 시스템을 만들어 갈 것으로 기대되며, 자율주행의 상용화가 더 이상 먼 미래의 이야기가 아님을 증명할 것입니다. ●xAI와 함께 그리는 미래 xAI는 최근... ","Fri, 04 Apr 2025 21:06:00 +0900"
1,노인일자리 및 사회활동 지원사업 안전·직무교육 실시,http://www.djtimes.co.kr/news/articleView.html?idxno=107666,http://www.djtimes.co.kr/news/articleView.html?idxno=107666,안전교육은 당진보건소와 송악파출소의 협조를 바탕으로 심․뇌혈관질환 예방관리 방법 및 노인 <b>교통사고</b> 예방에 대한 중요성을 알렸다. 이영문 지회장은 &quot;교육에 참석하는 모든 분이 노인일자리를 통해 경제적인 도움뿐... ,"Fri, 04 Apr 2025 21:00:00 +0900"
2,"계양소방서, 야간 구급현장 도움주는 3S조명들것 시범운용",https://www.kmaeil.com/news/articleView.html?idxno=499991,https://www.kmaeil.com/news/articleView.html?idxno=499991,'3S조명들것'은 기존 들것 전후방과 좌우 측면에 특수 조명을 설치하여 야간 <b>교통사고</b>와 같이 어두운 현장에서 대원들과 환자들의 시야 확보를 도와 안전성을 높이고 신속한 환자 이송이 가능하도록 설계됐다. 또한... ,"Fri, 04 Apr 2025 19:26:00 +0900"
3,동두천 시민아카데미 2강 11일 개최…한문철 변호사 강연,https://www.newspim.com/news/view/20250404001125,https://www.newspim.com/news/view/20250404001125,동두천시는 평생학습관에서 오는 17일 오후 7시에 한문철 변호사를 초청해 '<b>교통사고</b> 안 내고 안 당하기'라는 주제로 2025년 동두천 시민아카데미 2강을 개최한다고 4일 밝혔다. 2025년 동두천 시민아카데미 2강... ,"Fri, 04 Apr 2025 19:06:00 +0900"
4,"한국수력원자력 새울원자력본부, 울주 온양읍에 스마트 LED 안전봉 설치",http://www.metroseoul.co.kr/article/20250404500381,http://www.metroseoul.co.kr/article/20250404500381,<b>교통사고</b> 예방을 위한 스마트 LED 안전봉. 사진/한국수력원자력 한국수력원자력 새울원자력본부는 울주 온양읍 3개 마을에 안전한 교통 환경을 만들기 위해 스마트 LED 안전봉 100개를 설치했다고 3일 밝혔다. 이번 지원... ,"Fri, 04 Apr 2025 18:58:00 +0900"
5,"춘해보건대, 통학버스 기사 대상 <b>교통</b>안전교육 실시",http://www.metroseoul.co.kr/article/20250404500439,http://www.metroseoul.co.kr/article/20250404500439,이번 교육은 통학버스 운행 중 발생할 수 있는 <b>교통사고</b>를 예방하고 보다 안전한 운행 환경을 조성하기 위해 마련됐으며 정수교 울산울주경찰서 교통관리과장이 강사로 직접 참여해 실질적인 사례 중심의 교육을... ,"Fri, 04 Apr 2025 18:50:00 +0900"
6,"굿네이버스 경기2, 91개 초교에 '노란반사카드' 전달",http://www.mygoyang.com/news/articleView.html?idxno=83627,http://www.mygoyang.com/news/articleView.html?idxno=83627,"노란반사카드는 가방에 부착할 수 있는 연결형 교통안전용품으로, 빛을 반사해 운전자의 시야에 어린이가 잘 보이게 해 <b>교통사고</b> 예방에 효과적이다. 굿네이버스 경기2사업본부는 2023년부터 3년 동안 고양시 초등학교... ","Fri, 04 Apr 2025 18:18:00 +0900"
7,"영등포구, 구민 생활안전 보험 보장 확대",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160287417182505,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160287417182505,"올해는 12세 이하 어린이의 보행 중 <b>교통사고</b>로 인한 부상치료비를 새롭게 보장한다. 어린이의 경우 스쿨존뿐만 아니라 장소에 관계없이 부상을 입었다면, 자동차 사고 부상등급표(1~14급)에 따라 50만 원 한도 내에서... ","Fri, 04 Apr 2025 18:16:00 +0900"
8,"김제시, 김제시민 자전거 보헙 가입 운영",http://www.jeonmin.co.kr/news/articleView.html?idxno=415589,http://www.jeonmin.co.kr/news/articleView.html?idxno=415589,"주요 보장내용은 사망이나 후유장해 시 최대 500만원, 4주이상 진단을 받은 경우 상해위로금 20~60만원, 4주이상 진단자중 6일 이상 입원시 입원위로금 20만원, 자전거사고 벌금 최대 2,000만원, <b>교통사고</b> 처리지원금... ","Fri, 04 Apr 2025 18:12:00 +0900"
9,"이혼 위기 고백한 김송, 평화 되찾았나…결혼식 소환하며 &quot;사랑해&quot;",https://tenasia.hankyung.com/article/2025040417214,https://m.entertain.naver.com/article/312/0000706939,그러면서 &quot;남편이 나를 붙잡은 것도 아닌데 콩깍지가 딱 11년이었다&quot;며 &quot;10년 차 연애 때 (남편이)<b>교통사고</b>가 나고 딱 1년을 더 콩깍지 제대로 씌었다가 풀리게 됐을 때 그야말로 지옥을 살았다&quot;고 회상하기도 했다. 한편... ,"Fri, 04 Apr 2025 18:04:00 +0900"
