,title,originallink,link,description,pubDate
0,[체험기] 온 몸을 케어하는 힐링 있는 공간 ‘세라젬 웰라운지’,https://www.viva100.com/article/20250403500895,https://www.viva100.com/article/20250403500895,셀트론은 혈액순환 개선과 <b>근육통</b> 완화를 도와준다고 한다. 매트 위에 앉아 있으면 전기자극을 통해 신체 순환을 도와주는 방식이다. 순간 운동 중 삐끗했던 발목에 찌릿하는 자극이 왔다. 김 점장은 “이 부위가 좋지... ,"Thu, 03 Apr 2025 17:46:00 +0900"
1,"지난해 제주서 9명 감염, 고사리철 진드기 'SFTS' 주의",https://www.jejusori.net/news/articleView.html?idxno=435292,https://www.jejusori.net/news/articleView.html?idxno=435292,"5~14일 잠복기를 거쳐 38도 이상의 고열을 동반한 오심, 구토, 설사, <b>근육통</b>, 식욕부진 등 증상과 혈액 검사상 혈소판 감소가 나타나는 것이 특징이다. 참진드기가 활동하는 4월부터 11월에 많이 발생하며, 중증으로 진행될... ","Thu, 03 Apr 2025 16:20:00 +0900"
2,사계절 맛볼 수 있지만… 봄철엔 인삼보다 낫다는 뜻밖의 '채소',https://www.wikitree.co.kr/articles/1039121,https://www.wikitree.co.kr/articles/1039121,"따라서 <b>근육통</b>이나 생리통, 수족냉증 등에 진통효과가 있고, 입술색이 자줏빛을 띠고 얼굴이 검어지는 어혈성 기미에도 효과적이다. 또 간장과 신장을 보호해줘서 자양강장효과가 뚜렷하고, 소화액분비를 증진시켜... ","Thu, 03 Apr 2025 16:10:00 +0900"
3,[박동창의 맨발걷기學] &lt;18&gt;아토피·류마티스 등 자가면역질환의 치유,http://www.fnnews.com/news/202503211240540230,https://n.news.naver.com/mnews/article/014/0005330881?sid=103,"실제 그간 우리 회원들 중 윤모씨가 지난 2017년 섬유<b>근육통</b>을 진단받은 이후 1년 이상 병원을 다니며 약물을... 위의 사례들처럼 세상 모든 사람들과 어린이들이 아토피, 섬유<b>근육통</b>, 류마티스 관절염과 같은 무서운... ","Thu, 03 Apr 2025 14:44:00 +0900"
4,드가가 그린 발레리나도 근육을 움직일 수 없었던 걸까,https://www.idomin.com/news/articleView.html?idxno=934211,https://www.idomin.com/news/articleView.html?idxno=934211,"◇<b>근육통</b> 다음 날 아침 뚱이에게서 걸려 오는 요란한 전화에 철수 씨가 잠을 깬다. &quot;어. 뚱아 아침부터 왜?&quot; &quot;철수야, 큰일 났어! 다리가 안 움직여.&quot; 평소와 달리 다급한 뚱이 목소리에 누운 채 전화 받던 철수 씨가 벌떡... ","Thu, 03 Apr 2025 13:44:00 +0900"
5,10대 여성 '키스병'에 걸린 후 3가지 불치병 진단…어떤 질환이길래?,https://sports.chosun.com/life/2025-04-03/202504030100024010002833,https://n.news.naver.com/mnews/article/076/0004261792?sid=102,"주로 10~20대에 감염되는데 복통, 안구통, <b>근육통</b>, 발열, 인후통, 발진, 피로감 등의 증상이 나타난다. 대부분은 2~4주 내 증상이 자연 치유되지만, 카는 6개월 후에도 증상이 사라지지 않았다. 키스병에 걸린 후 그녀는... ","Thu, 03 Apr 2025 11:42:00 +0900"
6,&quot;봄철 진드기 매개 감염병 주의하세요&quot;,http://www.headlinejeju.co.kr/news/articleView.html?idxno=566526,http://www.headlinejeju.co.kr/news/articleView.html?idxno=566526,"봄철 많이 발생하는 진드기 매개 감염병인 중증열성혈소판증후군(SFTS)은 바이러스에 감염된 진드기에 물려 발생하는 질환으로 주로 38도 이상의 고열, 오심, 구토, 설사, <b>근육통</b>, 식욕부진 등과 함께 혈액 검사상 혈소판... ","Thu, 03 Apr 2025 11:00:00 +0900"
7,"서귀포 동부보건소, 봄철 진드기 매개 감염병 주의 당부",https://www.gukjenews.com/news/articleView.html?idxno=3240695,https://www.gukjenews.com/news/articleView.html?idxno=3240695,"봄철 많이 발생하는 진드기 매개 감염병인 중증열성혈소판증후군(SFTS)은 바이러스에 감염된 진드기에 물려 발생하는 질환으로 주로 38도 이상의 고열, 오심, 구토, 설사, <b>근육통</b>, 식욕부진 등과 함께 혈액 검사상 혈소판... ","Thu, 03 Apr 2025 10:14:00 +0900"
8,"서귀포시 동부보건소, 진드기 매개 감염병 주의 당부",https://www.newsjeju.net/news/articleView.html?idxno=409167,https://www.newsjeju.net/news/articleView.html?idxno=409167,"봄철 많이 발생하는 진드기 매개 감염병인 중증열성혈소판증후군(SFTS)은 바이러스에 감염된 진드기에 물려 발생하는 질환으로 주로 38도 이상의 고열, 오심, 구토, 설사, <b>근육통</b>, 식욕부진 등과 함께 혈액 검사상 혈소판... ","Thu, 03 Apr 2025 10:08:00 +0900"
9,"[전문의 칼럼] 무릎 건강에 좋은 수영, 어깨 건강에는?",http://www.edaily.co.kr/news/newspath.asp?newsid=01692486642132512,https://n.news.naver.com/mnews/article/018/0005977240?sid=102,"그런데 초기에는 뻐근한 느낌 정도의 약한 통증만 느껴지기 때문에 <b>근육통</b>으로 오인해 방치하거나 치료를 미루는 경우가 많다. 흔히 어깨 충돌증후군은 어깨 질환의 시작이라고 말하는데, 제때 적절한 치료가 진행되지... ","Thu, 03 Apr 2025 06:29:00 +0900"
