,title,originallink,link,description,pubDate
0,신세계 주요 계열사 총출동 '랜더스 쇼핑페스타',http://www.hidomin.com/news/articleView.html?idxno=577030,http://www.hidomin.com/news/articleView.html?idxno=577030,"3-4인용 라지 사이즈인 12인치 '홈런 피자' 9990원, 55cm 슈퍼롱 바게트 7980원, 4~6일 3일간 슈퍼롱피자바게트를 6980원에 각각 판매한다.이마트는 앱을 이용하는 고객을 대상으로 <b>비트코인</b>을 증정하는 특별 이벤트도... ","Thu, 03 Apr 2025 19:34:00 +0900"
1,"헛8, 트럼프 후원 아메리칸<b>비트코인</b> 인수…에너지 인프라 전환 전략",https://www.tokenpost.kr/news/cryptocurrency/234131,https://www.tokenpost.kr/news/cryptocurrency/234131,"2일(현지시간) 더블록에 따르면, 미국 상장 <b>비트코인</b> 채굴 기업 헛에이트(Hut 8)가 트럼프 일가가 후원하는 아메리칸데이터센터(American Data Centers, 현 아메리칸<b>비트코인</b>)의 지분 80%를 인수했다고 발표했다. 이번 거래는... ","Thu, 03 Apr 2025 19:32:00 +0900"
2,"그레이스케일 다각화 ETF 신청서에 솔라나 포함, 최초 현물 솔라나 ETF 가...",https://www.tokenpost.kr/news/cryptocurrency/234196,https://www.tokenpost.kr/news/cryptocurrency/234196,"그레이스케일이 <b>비트코인</b>, 이더리움, 리플, 카르다노와 함께 솔라나를 포함한 디지털 라지캡 펀드의 ETF 전환 신청서를 제출하며 기관 투자 가능성이 확대됐다. 2일(현지시간) 크립토뉴스에 따르면, 솔라나(SOL)가 지난... ","Thu, 03 Apr 2025 19:32:00 +0900"
3,"“채권으로 <b>비트코인</b> 투자?”…코인이지, <b>비트코인</b> 채권 ETF의 성장 가능...",https://www.tokenpost.kr/news/insights/234323,https://www.tokenpost.kr/news/insights/234323,"글로벌 암호화폐 리서치 플랫폼 코인이지(CoinEasy)는 최근 보고서를 통해 <b>비트코인</b> 채권 ETF가 암호화폐와 기존 금융시장을 연결하는 *가교 역할*을 수행하며, 향후 전통 자본시장에서의 암호화폐 확산을 본격화할 수... ","Thu, 03 Apr 2025 19:28:00 +0900"
4,"EOS 네트워크 24시간 내 18% 급등, 볼타 리브랜딩 기대감",https://www.tokenpost.kr/news/cryptocurrency/234199,https://www.tokenpost.kr/news/cryptocurrency/234199,"3월 발표에 따르면 리브랜드는 <b>비트코인</b>(BTC)과 다른 디지털 자산들과 함께 작동하며, <b>비트코인</b> 기반 디지털 뱅킹 솔루션인 엑스샛(exSat)과 직접 통합될 것이라고 설명했다. 볼타의 &quot;뱅킹OS&quot;는 <b>비트코인</b>을 새로운... ","Thu, 03 Apr 2025 19:28:00 +0900"
5,"트럼프발 관세 폭탄에 <b>비트코인</b> 흔들…최악 땐 7만1,000달러까지 급락 ...",https://www.tokenpost.kr/news/cryptocurrency/234317,https://www.tokenpost.kr/news/cryptocurrency/234317,"도널드 트럼프 대통령이 발표한 전 세계 대상 상호관세 정책이 <b>비트코인</b>(BTC) 가격에 상당한 하방 압력을 가하고 있다는 분석이 나왔다. 암호화폐 시장이 이로 인해 큰 조정을 겪을 경우, <b>비트코인</b>은 7만1,000달러(약... ","Thu, 03 Apr 2025 19:16:00 +0900"
6,"이더리움, 5년 만에 최저가 추락…덴쿤 업그레이드가 오히려 인플레이션...",http://coinreaders.com/153726,http://coinreaders.com/153726,"AMB크립토는 <b>비트코인</b>이 최근 몇 주간 약 10% 하락한 반면, 이더리움은 같은 기간 45% 가까이 폭락하며 투자자 신뢰가 급격히 위축됐다고 보도했다. 현재 이더리움은 1,800달러 부근에서 거래되고 있으며, <b>비트코인</b>과의... ","Thu, 03 Apr 2025 19:02:00 +0900"
7,"반에크, 셀레스티아 TIA 추종 ETN 유럽 상장…암호화폐 투자 상품 확대",https://www.tokenpost.kr/news/cryptocurrency/234133,https://www.tokenpost.kr/news/cryptocurrency/234133,"반에크는 이미 아발란체, 이더리움, <b>비트코인</b>, 폴카닷, 솔라나, 트론 등을 추종하는 다양한 ETN을 유럽 시장에 공급하고 있으며, 미국 내에서는 최초로 <b>비트코인</b> 현물 ETF와 솔라나 ETF, 최근에는 바이낸스코인(BNB) ETF... ","Thu, 03 Apr 2025 18:58:00 +0900"
8,“재산 많이 잃어” 추성훈 충격 근황…♥야노시호 알면 어째 (추라이 ...,https://sports.donga.com/ent/article/all/20250403/131345504/1,https://m.entertain.naver.com/article/382/0001188437,"이런 가운데 “클럽 투자는 누가 하냐”라는 주제가 나오자, 추성훈과 홍석천은 곧바로 대답하지 못하고 “주식, <b>비트코인</b> 때문에 많이 잃었다”며 말끝을 흐리는 모습으로 폭소를 유발했다. 또 홍석천이 ‘추성훈의 PT로... ","Thu, 03 Apr 2025 18:51:00 +0900"
9,카이아로 항공권 구매 가능해진다...'카이아 재단-트라벨라' 전략적 파...,https://www.techm.kr/news/articleView.html?idxno=137901,https://www.techm.kr/news/articleView.html?idxno=137901,트라벨라에서 이용 가능한 가상자산 여행 리워드 프로그램인 'AVA 스마트 프로그램'의 회원들은 예약 시 최대 10%의 <b>비트코인</b>(BTC) 또는 AVA 토큰 리워드와 같은 추가 혜택을 누릴 수 있다. 카이아 재단과 트라벨라의... ,"Thu, 03 Apr 2025 18:50:00 +0900"
10,"리플, 왜 갑자기 10억 XRP 풀었을까? 커뮤니티 혼란 속 진짜 이유는?",http://coinreaders.com/153722,http://coinreaders.com/153722,"특히 <b>비트코인</b> 약세와 맞물릴 경우 XRP의 단기 하락 압력이 커질 수 있다는 경고도 제기된다. 전문가들은 리플이 규칙을 변경하며 방출 일정을 조정한 배경에 대해, 소송 종결 국면에서의 유동성 전략일 수 있다고... ","Thu, 03 Apr 2025 18:42:00 +0900"
11,"트럼프發 관세 충격… <b>비트코인</b>(BTC), 7만6,500달러 지지선 시험대에",https://www.tokenpost.kr/news/cryptocurrency/234304,https://www.tokenpost.kr/news/cryptocurrency/234304,"도널드 트럼프 대통령이 4월 2일 발표한 전방위적 관세 부과 조치 이후 글로벌 금융 시장이 출렁이는 가운데, 전 비트멕스(BitMEX) CEO인 아서 헤이즈(Arthur Hayes)가 <b>비트코인</b>(BTC)의 핵심 지지선 유지 여부에 주목했다.... ","Thu, 03 Apr 2025 18:36:00 +0900"
12,"美 관세폭풍에 국내·글로벌 기업 주가, <b>코인</b> ‘급락’",https://www.yeongnam.com/web/view.php?key=20250403026286132,https://www.yeongnam.com/web/view.php?key=20250403026286132,"헌재의 탄핵 결정이 변수로 남아 있지만 달러-원 환율의 추가 상승, 즉 1천500원선을 재위협할 가능성도 배제할 수 없게 됐다&quot;고 분석했다.가상자산인 <b>비트코인</b>도 이날 약세를 보였다. 3일 오후 4시10분 기준... ","Thu, 03 Apr 2025 18:26:00 +0900"
13,"<b>비트코인</b>, 단 몇 시간 만에 6,000달러 급락…무슨 일이 벌어졌나",http://coinreaders.com/153718,http://coinreaders.com/153718,"4월 3일(현지시간) 암호화폐 전문매체 유투데이에 따르면, <b>비트코인</b>(BTC)은 하루 사이 6,000달러가량 급락하며 7% 넘는 낙폭을 기록했다. 당일 고점은 88,563달러였으나, 몇 시간 만에 82,157달러까지 하락한 후 현재는 83... ","Thu, 03 Apr 2025 18:22:00 +0900"
14,"제우스 네트워크, zBTC 발행 플랫폼 '아폴로' 출시: <b>비트코인</b> 기반 DeFi ...",https://www.job-post.co.kr/news/articleView.html?idxno=139696,https://www.job-post.co.kr/news/articleView.html?idxno=139696,이미지출처 = 픽사베이 zBTC는 <b>비트코인</b>을 솔라나 블록체인에서 활용하도록 랩핑한 가상자산이다. 아폴로를 통해 사용자는 자신의 <b>비트코인</b>을 1:1 비율로 zBTC로 바꿀 수 있다. 기존 랩핑 시스템과 달리 고객 본인 인증... ,"Thu, 03 Apr 2025 18:18:00 +0900"
15,트럼프(發) 가상자산 생태계 재편...우리가 가야 할 길은,https://www.pointdaily.co.kr/news/articleView.html?idxno=240583,https://www.pointdaily.co.kr/news/articleView.html?idxno=240583,<b>비트코인</b>의 전략 자산화를 선언한 미국 정부의 움직임을 살펴보고 대응 전략을 모색하기 위해 마련됐다. 업계 전문가들은 '가상자산 전면 금지 방침에 대한 재검토'와 '가상자산 산업의 범위 확대 및 국내 발행 허용 검토... ,"Thu, 03 Apr 2025 18:08:00 +0900"
