,title,originallink,link,description,pubDate
0,"한국산림아카데미, 2025년 제17기 산림최고경영자과정 신입생 모집",http://www.lak.co.kr/news/boardview.php?id=19849,http://www.lak.co.kr/news/boardview.php?id=19849,"교육내용은 임산물·농산물 재배부터, 조경수 재배 기술, 산림산업과 문화, <b>인공지능</b>과 접목된 산림경영 등 산림복합경영의 전반적인 내용으로 구성됐다. 강사진은 남성현 고문 전 산림청장, 이경준 교수 전 서울대학교... ","Thu, 03 Apr 2025 18:02:00 +0900"
1,한국기술교육대 충남교육청과학교육원과 '한국기술교육대 로봇배움터'...,http://www.veritas-a.com/news/articleView.html?idxno=548443,http://www.veritas-a.com/news/articleView.html?idxno=548443,한국기술교육대 장기현장실습 학생들은 로봇배움터와 더불어 <b>인공지능</b> 배움터 체험 운영도 도맡고 있다. 충남교육청과학교육원 남준호 교사는 &quot;한국기술교육대 학생들은 우수한 공학지식과 높은 교육 이해도로 체험... ,"Thu, 03 Apr 2025 18:02:00 +0900"
2,"스탠다드차타드, AVAX 2029년까지 250달러 전망…이더리움보다 수익률 클...",https://www.tokenpost.kr/news/blockchain/234119,https://www.tokenpost.kr/news/blockchain/234119,"또한 아발란체 재단은 생태계 성장을 위해 '레트로9000(Retro9000)'이라는 4000만 달러 규모 개발 인센티브 프로그램과, <b>인공지능</b>(AI) 관련 프로젝트를 위한 1500만 달러 규모의 '인프라빌드(InfraBUIDL)' 프로그램을... ","Thu, 03 Apr 2025 18:02:00 +0900"
3,국어문화원연합회 '우리말기자수첩' 배포,https://www.safetimes.co.kr/news/articleView.html?idxno=227924,https://www.safetimes.co.kr/news/articleView.html?idxno=227924,쉽게 다듬은 말은 △디지털 포렌식-전자 법의학 △머그샷-피의자 사진공개 제도 △블랙 아이스-도로살얼음 △싱크홀-땅꺼짐 △AI-<b>인공 지능</b> 등 순화어 67개 낱말을 다뤘다. 김덕호 회장은 &quot;쉬운 우리말 쓰기 문화 확산을... ,"Thu, 03 Apr 2025 18:02:00 +0900"
4,[로터리] 식의약 안전관리에 스며든 AI,https://www.sedaily.com/NewsView/2GRDNZZEVF,https://n.news.naver.com/mnews/article/011/0004469815?sid=110,최근 <b>인공지능</b>(AI)이 우리 삶 속에서 다양하게 활용되고 있다. 처음 등장했을 때만 해도 AI 기술은 우리 일상과 직접적 관련이 없는 것처럼 느껴졌다. 하지만 불과 몇 년 사이 AI는 제조업이나 금융·제약 산업을 넘어... ,"Thu, 03 Apr 2025 18:02:00 +0900"
5,"특허청, 이에이트㈜서 '글로벌 IP스타기업 육성' 현장간담회",https://www.kukinews.com/article/view/kuk202504030229,https://www.kukinews.com/article/view/kuk202504030229,김 청장은 “디지털트윈은 <b>인공지능</b>(AI)과 클라우드 등 첨단 기술과 융합해 다양한 산업에 활용될 수 있는 무한한 잠재력을 가진 혁신분야”라며 “특허청은 해외시장에 도전하는 혁신기업이 지식재산을 효과적으로... ,"Thu, 03 Apr 2025 18:02:00 +0900"
6,‘트럼프 절친’ 슈워츠먼 블랙스톤 회장 “3~6개월 후 세계경제 트럼프...,https://www.mk.co.kr/article/11281598,https://n.news.naver.com/mnews/article/009/0005470540?sid=102,"▷첫째, <b>인공지능</b>(AI)다. 많은 종류의 투자 기회가 있다. 블랙스톤은 세계 최대 데이터센터 개발자이자 세계 최대 데이터센터 소유자다. 방금도 AI 관련 전체 팀과 회의를 했다. 우리는 AI 관련해 매주 한 번씩 회의를 해서... ","Thu, 03 Apr 2025 18:01:00 +0900"
7,한세대 휴먼케어 융복합 헬스케어 프로그램 성과발표회 개최,http://www.veritas-a.com/news/articleView.html?idxno=548456,http://www.veritas-a.com/news/articleView.html?idxno=548456,"하숙례), ▲<b>인공지능</b> 융합 심리상담 시스템 사업단(단장 최광현), ▲창의융합 예술교육 전문가 양성 사업단(단장 유승지), ▲DCMLB사업단(단장 김영두), ▲H-G협력 혁신인재 사업단(단장 오훈식)을 구성했다. 한세대는... ","Thu, 03 Apr 2025 18:00:00 +0900"
8,"AI 기업 '무료' 서비스, 선택 아닌 필수 이유",https://www.epnc.co.kr/news/articleView.html?idxno=314796,https://www.epnc.co.kr/news/articleView.html?idxno=314796,<b>인공지능</b>(AI) 기업들이 고성능 언어모델과 서비스를 무료로 개방하는 사례가 잇따르고 있다. AI 기술이 고도화되고 경쟁이 치열해진 시장에서 사용자 접점을 먼저 확보하는 일이 전략의 출발점으로 작동하고 있기... ,"Thu, 03 Apr 2025 18:00:00 +0900"
9,서울YMCA “애플 AI는 소비자 기만”…공정위 조사 착수,http://theviewers.co.kr/View.aspx?No=3602018,http://theviewers.co.kr/View.aspx?No=3602018,뷰어스 백민재 기­자 beck@viewers.co.kr 그동안 애플의 <b>인공지능</b>(AI) 기능 관련 허위·과장 광고를 비판해온 서울YMCA가 애플 인텔리전스 기능에 대해 소비자 기만이라고 주장했다.서울YMCA는 3일 보도자료를 통해 “애플이... ,"Thu, 03 Apr 2025 18:00:00 +0900"
