,title,originallink,link,description,pubDate
0,"'허경민-김상수 출전 불가' LG 8연승 저지한 KT, 왜 선발 라인업 대폭 바...",https://www.starnewskorea.com/stview.php?no=2025040315324313773,https://m.sports.naver.com/kbaseball/article/108/0003317299,경기 전 이강철 감독은 &quot;허경민은 <b>허리 통증</b>이 있어 주사를 맞고 있다. 오늘은 대타로도 힘들 것 같다. 김상수 역시 왼쪽 옆구리에 통증이 있어 빠졌다. 어제(2일) 우강훈의 체인지업을 걷어내는 과정에서 통증이... ,"Thu, 03 Apr 2025 17:57:00 +0900"
1,[르포] 모두가 탄핵만 바라볼 때 ‘기약 없는 텐트생활’ 지쳐가는 영덕...,https://biz.heraldcorp.com/article/10457535?ref=naver,https://n.news.naver.com/mnews/article/016/0002452401?sid=102,"대피 생활이 하염없이 길어지면서 <b>허리 통증</b>과 고혈압, 당뇨 등 지병을 호소하는 어르신들이 늘면서다. 현장에서 만난 경상북도의사회 총무이사 김만수 에스포항병원장은 “걱정했던 것보다는 건강 상태가 다 괜찮으신... ","Thu, 03 Apr 2025 17:46:00 +0900"
2,"“<b>허리 통증</b> 있다” KT 내야 핵심 허경민·김상수, 라인업 제외…다행히...",https://www.sportsseoul.com/news/read/1505981?ref=naver,https://m.sports.naver.com/kbaseball/article/468/0001137234,"허경민과 김상수가 3일 수원 LG전을 앞두고 <b>허리 통증</b>으로 인해 선발 라인업에서 제외됐다. 사진 | KT 위즈, 스포츠서울 DB “두 선수 모두 <b>허리 통증</b>이 있다.” KT 내야 핵심 허경민(35)과 김상수(35)가 한꺼번에 선발... ","Thu, 03 Apr 2025 17:25:00 +0900"
3,"김민재, 죽도록 뛴다! 4월5일 경기 앞두고 '훈련장 복귀' 아킬레스건+몸...",https://www.xportsnews.com/article/1981777,https://m.sports.naver.com/wfootball/article/311/0001847015,김민재는 지난해 10월 아인트라흐트 프랑크푸르트와의 경기 이후 발목 <b>통증</b>과 아킬레스건 염증에 시달려왔다. 김민재 지금까지 아킬레스건 부상을 완전히 해결하지 못했다. 최근까지 부상이 더 번질 수 있는 위험성을... ,"Thu, 03 Apr 2025 17:22:00 +0900"
4,"'<b>허리 통증</b>' KT 허경민, 시즌 첫 결장…옆구리 아픈 김상수도 휴식",https://www.news1.kr/sports/baseball/5741977,https://m.sports.naver.com/kbaseball/article/421/0008172055,이강철 KT 감독은 3일 수원케이티위즈파크에서 열리는 2025 신한 SOL뱅크 KBO리그 LG 트윈스와 경기를 앞두고 취재진을 만나 &quot;작년과 라인업 멤버가 똑같다&quot;며 &quot;(이적생) 허경민이 <b>허리 통증</b>으로 주사 치료를 받았다.... ,"Thu, 03 Apr 2025 17:03:00 +0900"
5,"kt 허경민·김상수, LG전 선발 제외…<b>허리</b>·옆구리 <b>통증</b> 여파",https://www.yna.co.kr/view/AKR20250403150700007?input=1195m,https://m.sports.naver.com/kbaseball/article/001/0015309607,이강철 kt 감독은 3일 LG전을 앞두고 &quot;허경민은 <b>허리</b> 주사 치료를 받아서 오늘 경기에 뛰기 어렵다&quot;라며 &quot;김상수도 왼쪽 옆구리 <b>통증</b>으로 출전 명단에서 뺐다&quot;고 밝혔다. 이어 &quot;두 선수는 오늘 경기만 쉴 예정&quot;이라며... ,"Thu, 03 Apr 2025 16:53:00 +0900"
6,"KT 타선 이끄는 허경민·김상수, 하루 쉬어간다",https://sports.khan.co.kr/article/202504031644003?pt=nv,https://m.sports.naver.com/kbaseball/article/144/0001030138,허경민은 전날 LG전 수비를 하다 <b>허리</b>에 불편함을 느꼈다. 김상수는 LG 우강훈의 몸쪽 체인지업을 피하다 옆구리 <b>통증</b>이 왔다. 둘 다 심각한 건 아니지만 관리 차원에서 빼주기로 했다. 개막 후 9경기 모두 선발로... ,"Thu, 03 Apr 2025 16:47:00 +0900"
7,"김민재, 팀 훈련 불참→복귀 반복…대표팀 수비 불안 가중, 홍명보 고민...",https://sports.khan.co.kr/article/202504031607013?pt=nv,https://m.sports.naver.com/wfootball/article/144/0001030115,"김민재는 이번 시즌 자주 아킬레스건 통증을 호소했고, 최근에는 감기에 <b>허리 통증</b>까지 겪고 있다. 하지만 뮌헨이 3일 구단 공식 SNS를 통해 공개한 훈련 사진에 포착됐다. 4일 아우크스부르크와의 분데스리가 경기를 앞두고... ","Thu, 03 Apr 2025 16:09:00 +0900"
8,"“60대 후반인데 팔팔”… 보디빌딩 대회 휩쓰는 美 할머니, 체력 기른...",https://health.chosun.com/site/data/html_dir/2025/04/03/2025040302454.html,https://n.news.naver.com/mnews/article/346/0000089896?sid=103,"다만, 과체중이거나 부상 경험이 있고 ▲발 ▲발목 ▲무릎 ▲골반 ▲<b>허리</b> 등에 <b>통증</b>이 있다면 에어로빅을 너무 오래 하지 않는 게 좋다. 근력 운동, 기초대사량 늘릴 때 도움 근력 운동으로 근육을 키우면 기초대사량이... ","Thu, 03 Apr 2025 15:43:00 +0900"
9,"김민재 ‘시한폭탄’ 터지는데, 또또 못 쉰다…선발 출격→그런데 파트...",https://isplus.com/article/view/isp202504030096,https://m.sports.naver.com/wfootball/article/241/0003426039,현재 <b>허리</b>에도 문제가 생기고 있다”고 전했다. 장크트파울리전 이후 컨디션이 악화했다는 뜻이다. 하지만 매체는 “김민재는 이겨내야 한다. 그는 장기간 <b>통증</b>에도 불구하고 휴식을 취할 계획이 없다”면서 “(뮌헨은)... ,"Thu, 03 Apr 2025 15:33:00 +0900"
